#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;
88games;'88 Games;Final Burn Alpha;;1988;Konami;Sports / Track & Field;;;;;0;;;;;;
88games;'88 Games;Final Burn Alpha;;1988;Konami;Sports / Track & Field;;;;;;;;;;;
88games;'88 Games;Final Burn Alpha;;1988;Konami;Sports / Track & Field;;;;;0;;;;;;
99lstwar;'99 The Last War;Final Burn Alpha;;1985;Proma;Shooter / Gallery;;;;;0;;;;;;
99lstwar;'99 The Last War;Final Burn Alpha;;1985;Proma;Shooter / Gallery;;;;;0;;;;;;
99lstwark;'99 The Last War (Kyugo);Final Burn Alpha;;1985;Kyugo;Shooter / Gallery;;;;;0;;;;;;
99lstwark;'99 The Last War (Kyugo);Final Burn Alpha;;1985;Kyugo;Shooter / Gallery;;;;;0;;;;;;
99lstwara;'99 The Last War (alternate);Final Burn Alpha;;1985;Proma;Shooter / Gallery;;;;;0;;;;;;
99lstwara;'99 The Last War (alternate);Final Burn Alpha;;1985;Proma;Shooter / Gallery;;;;;0;;;;;;
99lstwar;'99: The Last War;Final Burn Alpha;;1985;Proma;Shooter / Gallery;;;;;;;;;;;
99lstwar;'99: The Last War;Final Burn Alpha;;1985;Proma;Shooter / Gallery;;;;;;;;;;;
99lstwark;'99: The Last War (Kyugo);Final Burn Alpha;;1985;Kyugo;Shooter / Gallery;;;;;;;;;;;
99lstwark;'99: The Last War (Kyugo);Final Burn Alpha;;1985;Kyugo;Shooter / Gallery;;;;;;;;;;;
99lstwara;'99: The Last War (alternate);Final Burn Alpha;;1985;Proma;Shooter / Gallery;;;;;;;;;;;
99lstwara;'99: The Last War (alternate);Final Burn Alpha;;1985;Proma;Shooter / Gallery;;;;;;;;;;;
gtmra;1000 Miglia Great 1000 Miles Rally (94/06/13);Final Burn Alpha;;1994;Kaneko;Driving / Race;;;;;0;;;;;;
gtmra;1000 Miglia Great 1000 Miles Rally (94/06/13);Final Burn Alpha;;1994;Kaneko;Driving / Race;;;;;0;;;;;;
gtmr;1000 Miglia Great 1000 Miles Rally (94/07/18);Final Burn Alpha;;1994;Kaneko;Driving / Race;;;;;0;;;;;;
gtmr;1000 Miglia Great 1000 Miles Rally (94/07/18);Final Burn Alpha;;1994;Kaneko;Driving / Race;;;;;0;;;;;;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);Final Burn Alpha;;1994;Kaneko;Driving / Race;;;;;;;;;;;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);Final Burn Alpha;;1994;Kaneko;Driving / Race;;;;;;;;;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);Final Burn Alpha;;1994;Kaneko;Driving / Race;;;;;;;;;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);Final Burn Alpha;;1994;Kaneko;Driving / Race;;;;;;;;;;;
12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;;
12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;;;;;;;
12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;;
12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;;;;;;;
13mahjan;13 Ma Jiang - 98 Mei Shao Nu Pian (Chi);Final Burn Alpha;;1998;BBD;;;;;;0;;;;;;
13mahjan;13 Ma Jiang - 98 Mei Shao Nu Pian (Chi);Final Burn Alpha;;1998;BBD;;;;;;;;;;;;
13mahjan;13 Ma Jiang - 98 Mei Shao Nu Pian (Chi);Final Burn Alpha;;1998;BBD;;;;;;0;;;;;;
13mahjan;13 Ma Jiang - 98 Mei Shao Nu Pian (Chi);Final Burn Alpha;;1998;BBD;;;;;;;;;;;;
16tongnk;16 Ton (Jpn, Game no Kandume MegaCD Rip);Final Burn Alpha;;1991;Sega;;;;;;0;;;;;;
16tongnk;16 Ton (Jpn, Game no Kandume MegaCD Rip);Final Burn Alpha;;1991;Sega;;;;;;;;;;;;
