#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;
1944ad;1944 - the loop master (000620 USA Phoenix Edition, alt) [Bootleg];Final Burn Alpha;;2000;bootleg;;;;;;0;;;;;;
1944ad;1944 - the loop master (000620 USA Phoenix Edition, alt) [Bootleg];Final Burn Alpha;;2000;bootleg;;;;;;;;;;;;
1944ad;1944 - the loop master (000620 USA Phoenix Edition, alt) [Bootleg];Final Burn Alpha;;2000;bootleg;;;;;;0;;;;;;
1944ad;1944 - the loop master (000620 USA Phoenix Edition, alt) [Bootleg];Final Burn Alpha;;2000;bootleg;;;;;;;;;;;;
1944d;1944 - the loop master (000620 USA Phoenix Edition) [Bootleg];Final Burn Alpha;;2000;bootleg;Shooter / Flying Vertical;;;;;0;;;;;;
1944d;1944 - the loop master (000620 USA Phoenix Edition) [Bootleg];Final Burn Alpha;;2000;bootleg;Shooter / Flying Vertical;;;;;;;;;;;
1944d;1944 - the loop master (000620 USA Phoenix Edition) [Bootleg];Final Burn Alpha;;2000;bootleg;Shooter / Flying Vertical;;;;;0;;;;;;
1944d;1944 - the loop master (000620 USA Phoenix Edition) [Bootleg];Final Burn Alpha;;2000;bootleg;Shooter / Flying Vertical;;;;;;;;;;;
1944j;1944 - the loop master (000620 Japan);Final Burn Alpha;;2000;Capcom / 8ing / Raizing;Shooter / Flying Vertical;;;;;0;;;;;;
1944j;1944 - the loop master (000620 Japan);Final Burn Alpha;;2000;Capcom / 8ing / Raizing;Shooter / Flying Vertical;;;;;;;;;;;
1944j;1944 - the loop master (000620 Japan);Final Burn Alpha;;2000;Capcom / 8ing / Raizing;Shooter / Flying Vertical;;;;;0;;;;;;
1944j;1944 - the loop master (000620 Japan);Final Burn Alpha;;2000;Capcom / 8ing / Raizing;Shooter / Flying Vertical;;;;;;;;;;;
19xx;19XX - the war against destiny (951207 USA);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xx;19XX - the war against destiny (951207 USA);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xx;19XX - the war against destiny (951207 USA);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xx;19XX - the war against destiny (951207 USA);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxa;19XX - the war against destiny (951207 Asia);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxa;19XX - the war against destiny (951207 Asia);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxa;19XX - the war against destiny (951207 Asia);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxa;19XX - the war against destiny (951207 Asia);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxb;19XX - the war against destiny (951218 Brazil);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxb;19XX - the war against destiny (951218 Brazil);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxb;19XX - the war against destiny (951218 Brazil);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxb;19XX - the war against destiny (951218 Brazil);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg];Final Burn Alpha;;1995;bootleg;Shooter / Flying Vertical;;;;;0;;;;;;
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg];Final Burn Alpha;;1995;bootleg;Shooter / Flying Vertical;;;;;;;;;;;
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg];Final Burn Alpha;;1995;bootleg;Shooter / Flying Vertical;;;;;0;;;;;;
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg];Final Burn Alpha;;1995;bootleg;Shooter / Flying Vertical;;;;;;;;;;;
19xxh;19XX - the war against destiny (951218 Hispanic);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxh;19XX - the war against destiny (951218 Hispanic);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxh;19XX - the war against destiny (951218 Hispanic);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxh;19XX - the war against destiny (951218 Hispanic);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxj;19XX - the war against destiny (960104 Japan, yellow case);Final Burn Alpha;;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxj;19XX - the war against destiny (960104 Japan, yellow case);Final Burn Alpha;;1996;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxj;19XX - the war against destiny (960104 Japan, yellow case);Final Burn Alpha;;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxj;19XX - the war against destiny (960104 Japan, yellow case);Final Burn Alpha;;1996;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxjr1;19XX - the war against destiny (951225 Japan);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxjr1;19XX - the war against destiny (951225 Japan);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxjr1;19XX - the war against destiny (951225 Japan);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxjr1;19XX - the war against destiny (951225 Japan);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxjr2;19XX - the war against destiny (951207 Japan);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxjr2;19XX - the war against destiny (951207 Japan);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
19xxjr2;19XX - the war against destiny (951207 Japan);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;0;;;;;;
19xxjr2;19XX - the war against destiny (951207 Japan);Final Burn Alpha;;1995;Capcom;Shooter / Flying Vertical;;;;;;;;;;;
2020bbj;2020 Toshi Super Baseball (Jpn);Final Burn Alpha;;1994;Electronic Arts Victor;;;;;;0;;;;;;
2020bbj;2020 Toshi Super Baseball (Jpn);Final Burn Alpha;;1994;Electronic Arts Victor;;;;;;;;;;;;
2020bbj;2020 Toshi Super Baseball (Jpn);Final Burn Alpha;;1994;Electronic Arts Victor;;;;;;0;;;;;;
2020bbj;2020 Toshi Super Baseball (Jpn);Final Burn Alpha;;1994;Electronic Arts Victor;;;;;;;;;;;;
21 Emon - Mezase Hotel Ou!! (Japan);21 Emon - Mezase Hotel Ou!!;NEC PC Engine;;;;;;;;;0;;;;;;
21 Emon - Mezase Hotel Ou!! (Japan);21 Emon - Mezase Hotel Ou!!;NEC PC Engine;;None;None;;;;;;;;;;;;
21 Emon - Mezase Hotel Ou!! (Japan);21 Emon - Mezase Hotel Ou!!;NEC PC Engine;;;;;;;;;0;;;;;;
21 Emon - Mezase Hotel Ou!! (Japan);21 Emon - Mezase Hotel Ou!!;NEC PC Engine;;None;None;;;;;;;;;;;;
21emon;21 Emon - Mezase Hotel ou!!;Final Burn Alpha;;1994;NEC Home Electronics;;;;;;0;;;;;;
21emon;21 Emon - Mezase Hotel ou!!;Final Burn Alpha;;1994;NEC Home Electronics;;;;;;;;;;;;
21emon;21 Emon - Mezase Hotel ou!!;Final Burn Alpha;;1994;NEC Home Electronics;;;;;;0;;;;;;
21emon;21 Emon - Mezase Hotel ou!!;Final Burn Alpha;;1994;NEC Home Electronics;;;;;;;;;;;;
2psymmac;2 in 1 - Psycho Pinball & Micro Machines (Euro);Final Burn Alpha;;1993;Codemasters;;;;;;0;;;;;;
2psymmac;2 in 1 - Psycho Pinball & Micro Machines (Euro);Final Burn Alpha;;1993;Codemasters;;;;;;;;;;;;
2psymmac;2 in 1 - Psycho Pinball & Micro Machines (Euro);Final Burn Alpha;;1993;Codemasters;;;;;;0;;;;;;
2psymmac;2 in 1 - Psycho Pinball & Micro Machines (Euro);Final Burn Alpha;;1993;Codemasters;;;;;;;;;;;;
3in1fwt;3 in 1 Flashback - World Championship Soccer - Tecmo World Cup 92 (Pirate);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;;
3in1fwt;3 in 1 Flashback - World Championship Soccer - Tecmo World Cup 92 (Pirate);Final Burn Alpha;;199?;unknown;;;;;;;;;;;;
3in1fwt;3 in 1 Flashback - World Championship Soccer - Tecmo World Cup 92 (Pirate);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;;
3in1fwt;3 in 1 Flashback - World Championship Soccer - Tecmo World Cup 92 (Pirate);Final Burn Alpha;;199?;unknown;;;;;;;;;;;;
