#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
4dboxing;4dboxing;Microsoft MS-DOS;;;;;;;;;;;;;;
4dsports;4dsports;Microsoft MS-DOS;;;;;;;;;;;;;;
7citiesg;7citiesg;Microsoft MS-DOS;;;;;;;;;;;;;;
a10;a10;Microsoft MS-DOS;;;;;;;;;;;;;;
a320;a320;Microsoft MS-DOS;;;;;;;;;;;;;;
acarnage;acarnage;Microsoft MS-DOS;;;;;;;;;;;;;;
acesdeep;acesdeep;Microsoft MS-DOS;;;;;;;;;;;;;;
aceseur;aceseur;Microsoft MS-DOS;;;;;;;;;;;;;;
acespac;acespac;Microsoft MS-DOS;;;;;;;;;;;;;;
airduel;airduel;Microsoft MS-DOS;;;;;;;;;;;;;;
airstusa;airstusa;Microsoft MS-DOS;;;;;;;;;;;;;;
abreed;abreed;Microsoft MS-DOS;;;;;;;;;;;;;;
aloned;aloned;Microsoft MS-DOS;;;;;;;;;;;;;;
alqadim;alqadim;Microsoft MS-DOS;;;;;;;;;;;;;;
anworld;anworld;Microsoft MS-DOS;;;;;;;;;;;;;;
archonu;archonu;Microsoft MS-DOS;;;;;;;;;;;;;;
b17fort;b17fort;Microsoft MS-DOS;;;;;;;;;;;;;;
bard3;bard3;Microsoft MS-DOS;;;;;;;;;;;;;;
bardqst;bardqst;Microsoft MS-DOS;;;;;;;;;;;;;;
bchess4;bchess4;Microsoft MS-DOS;;;;;;;;;;;;;;
bcracers;bcracers;Microsoft MS-DOS;;;;;;;;;;;;;;
behold;behold;Microsoft MS-DOS;;;;;;;;;;;;;;
behold2;behold2;Microsoft MS-DOS;;;;;;;;;;;;;;
blackkn;blackkn;Microsoft MS-DOS;;;;;;;;;;;;;;
blstoids;blstoids;Microsoft MS-DOS;;;;;;;;;;;;;;
bstone;bstone;Microsoft MS-DOS;;;;;;;;;;;;;;
bstone2;bstone2;Microsoft MS-DOS;;;;;;;;;;;;;;
bthorne;bthorne;Microsoft MS-DOS;;;;;;;;;;;;;;
civiliz;civiliz;Microsoft MS-DOS;;;;;;;;;;;;;;
